task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,10,0.03,0.005394441583704471,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,10,0.042,0.0063431853196954605,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,10,0.02,0.004427188724235731,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,20,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,20,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,20,0.037,0.005969170796685248,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,20,0.038,0.006046155803483731,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,20,0.024,0.004839834707921336,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,20,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,30,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,30,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,30,0.056,0.007270763371201128,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,30,0.078,0.008480330182251162,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,30,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,t-test,0.05,2,0.083,0.008724161850859944,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,2,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,2,0.001,0.0009994998749374609,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,2,0.358,0.01516034300403523,0.05
Hopper-v5,SAC,PPO,permutation,0.05,2,0.387,0.015402305022301045,0.05
Hopper-v5,SAC,PPO,t-test,0.05,3,0.065,0.007795832219846705,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,3,0.038,0.006046155803483731,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,3,0.162,0.011651437679531225,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,3,0.208,0.0128349522788361,0.05
Hopper-v5,SAC,PPO,permutation,0.05,3,0.162,0.011651437679531225,0.05
Hopper-v5,SAC,PPO,t-test,0.05,5,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,5,0.036,0.005891010100144117,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,5,0.039,0.006122009474020765,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,5,0.066,0.007851369307324678,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,5,0.125,0.010458250331675944,0.05
Hopper-v5,SAC,PPO,permutation,0.05,5,0.081,0.008627803892068943,0.05
Hopper-v5,SAC,PPO,t-test,0.05,10,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,10,0.036,0.005891010100144117,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,10,0.08,0.008579044235810887,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,10,0.097,0.00935900635751467,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,10,0.088,0.008958571314668427,0.05
Hopper-v5,SAC,PPO,permutation,0.05,10,0.051,0.00695693898205238,0.05
Hopper-v5,SAC,PPO,t-test,0.05,20,0.051,0.00695693898205238,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,20,0.065,0.007795832219846705,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,20,0.128,0.010564847372300274,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,20,0.14,0.010972693379476163,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,20,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,PPO,permutation,0.05,20,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,PPO,t-test,0.05,30,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,30,0.054,0.007147307185227175,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,30,0.174,0.011988494484296182,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,30,0.176,0.012042591083317577,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,30,0.066,0.007851369307324678,0.05
Hopper-v5,SAC,PPO,permutation,0.05,30,0.048,0.006759881655768835,0.05
Hopper-v5,SAC,PPO,t-test,0.01,2,0.03,0.005394441583704471,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,2,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,2,0.384,0.015379986996093333,0.01
Hopper-v5,SAC,PPO,permutation,0.01,2,0.417,0.015592017188292218,0.01
Hopper-v5,SAC,PPO,t-test,0.01,3,0.026,0.0050322956987840055,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,3,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,3,0.175,0.012015614840697915,0.01
Hopper-v5,SAC,PPO,permutation,0.01,3,0.144,0.011102432165971562,0.01
Hopper-v5,SAC,PPO,t-test,0.01,5,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,5,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,5,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,5,0.046,0.006624499981130651,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,5,0.076,0.008379976133617566,0.01
Hopper-v5,SAC,PPO,permutation,0.01,5,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,PPO,t-test,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,10,0.007,0.0026364749192814255,0.01
