task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.898,0.009570579919733181
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,20,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,permutation,0.01,2.0,20,0.995,0.002230470802319547
Hopper-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,0.985,0.0038438262187565153
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,0.982,0.004204283529925166
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.01,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,2,0.06,0.007509993342207435
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.03,0.005394441583704471
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.385,0.015387494922826133
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,2,0.411,0.015558888135082145
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,3,0.079,0.008529888627643388
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.046,0.006624499981130651
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.158,0.011534123287012324
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.31,0.014625320509308504
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,3,0.169,0.011850696182081457
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,5,0.135,0.010806248192596726
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.093,0.009184280047995052
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.078,0.008480330182251162
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.132,0.010704017937204702
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.316,0.014701836619960105
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,5,0.146,0.011166198995181842
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,10,0.213,0.012947239087929134
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.235,0.013408019988051927
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.23,0.013307892395116516
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.208,0.0128349522788361
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.335,0.014925649064613574
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,10,0.276,0.014135911714495106
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,20,0.367,0.015241751867813621
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.412,0.015564575162849772
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.395,0.015458816254810716
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.434,0.015673034167001616
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.402,0.015504708962118573
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,20,0.368,0.015250442616527561
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,30,0.479,0.015797436500901024
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.504,0.01581088232832058
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.556,0.015711906313366306
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.6,0.015491933384829668
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.513,0.015806043148112688
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,30,0.489,0.015807561481771943
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,2,0.131,0.010669536072388528
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.054,0.007147307185227175
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.572,0.015646597074124458
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,2,0.57,0.015655669899432602
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,3,0.214,0.012969348480166612
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.143,0.011070275515993266
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.303,0.014532412050310162
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.558,0.01570464899321217
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,3,0.377,0.01532550162311172
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,5,0.39,0.01542400726140908
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.361,0.01518812035770062
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.243,0.013562853682024296
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.33,0.014869431730903503
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.601,0.015485444778888335
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,5,0.447,0.015722308990730335
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,10,0.61,0.01542400726140908
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.564,0.015681326474504636
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.541,0.015758140753274162
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.595,0.015523369479594306
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.672,0.014846413708367418
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,10,0.611,0.015416841440450765
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,20,0.859,0.011005407761641547
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.862,0.01090669519148674
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.89,0.009894442884771228
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.855,0.011134406135937382
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.879,0.010313049985334114
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,20,0.878,0.010349685985574635
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,30,0.96,0.00619677335393187
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.967,0.005648982209212561
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.977,0.004740358636221528
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.972,0.005216895628628201
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.965,0.005811626278418119
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,30,0.966,0.005730968504537434
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,2,0.317,0.014714312760030624
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.149,0.01126050620531777
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.817,0.012227469075814505
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,2,0.833,0.01179453263168999
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,3,0.593,0.015535475531827148
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.498,0.01581126180922952
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.642,0.01516034300403523
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.819,0.012175343937647102
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,3,0.76,0.013505554412907307
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,5,0.781,0.013078187947877183
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.779,0.01312093746650749
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.606,0.015451990163082553
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.664,0.014936666294725875
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.864,0.010839926199010766
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,5,0.792,0.012834952278836098
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,10,0.982,0.004204283529925166
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.982,0.004204283529925166
