task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.747,0.013747399754135324
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,20,0.691,0.014612289348353324
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,30,0.889,0.00993373041711924
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.875,0.010458250331675944
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.847,0.011383804285035824
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.873,0.010529529904036551
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.926,0.008277922444671728
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,30,0.888,0.00997276290703835
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,50,0.996,0.0019959959919799443
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,50,0.992,0.0028170906978654425
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,50,0.981,0.004317290817167639
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,50,0.976,0.004839834707921338
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,50,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,50,0.986,0.0037153734670958734
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,100,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,2,0.131,0.010669536072388528
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.03,0.005394441583704471
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
