task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,2,0.096,0.009315793041926168
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,2,0.061,0.0075682891065286355
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,3,0.123,0.010386096475577337
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,3,0.076,0.008379976133617566
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,3,0.395,0.015458816254810716
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,5,0.238,0.01346684818359515
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,5,0.215,0.012991343271578963
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,5,0.319,0.014739029818817792
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,5,0.381,0.015357050498061143
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,10,0.595,0.015523369479594306
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,10,0.536,0.015770351930125083
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,10,0.699,0.014505137021069467
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,10,0.69,0.014625320509308506
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,20,0.894,0.009734680272099335
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,20,0.908,0.009139803061335619
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,20,0.959,0.006270486424512857
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,20,0.958,0.006343185319695463
Hopper-v5,SAC,DDPG,t-test,0.05,1.0,30,0.987,0.0035820385257559714
Hopper-v5,SAC,DDPG,Welch t-test,0.05,1.0,30,0.979,0.00453420334788814
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,30,0.994,0.002442130217658347
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,1.0,30,0.993,0.002636474919281427
Hopper-v5,SAC,DDPG,t-test,0.05,2.0,2,0.256,0.013800869537822608
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2.0,2,0.117,0.010164201887015036
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.05,2.0,3,0.481,0.01579996835439869
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2.0,3,0.344,0.015022117027902558
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,3,0.0,0.0
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2.0,3,0.623,0.01532550162311172
Hopper-v5,SAC,DDPG,t-test,0.05,2.0,5,0.849,0.01132249972400088
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2.0,5,0.794,0.0127892142057282
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,5,0.555,0.01571543826942157
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2.0,5,0.674,0.01482309009619789
Hopper-v5,SAC,DDPG,t-test,0.05,2.0,10,0.997,0.0017294507798720387
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2.0,10,0.998,0.0014127986409959495
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,10,0.935,0.0077958322198467015
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2.0,10,0.946,0.0071473071852271785
Hopper-v5,SAC,DDPG,t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2.0,20,0.997,0.0017294507798720387
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,DDPG,t-test,0.05,2.0,30,1.0,0.0
