task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,PPO,Welch t-test,0.05,2,0.051,0.00695693898205238,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,2,0.402,0.015504708962118573,0.05
Hopper-v5,SAC,PPO,permutation,0.05,2,0.405,0.015523369479594306,0.05
Hopper-v5,SAC,PPO,t-test,0.05,3,0.084,0.008771772910877254,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,3,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,3,0.167,0.01179453263168999,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,3,0.214,0.012969348480166612,0.05
Hopper-v5,SAC,PPO,permutation,0.05,3,0.161,0.011622349160131096,0.05
Hopper-v5,SAC,PPO,t-test,0.05,5,0.061,0.0075682891065286355,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,5,0.035,0.005811626278418116,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,5,0.051,0.00695693898205238,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,5,0.088,0.008958571314668427,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,5,0.125,0.010458250331675944,0.05
Hopper-v5,SAC,PPO,permutation,0.05,5,0.081,0.008627803892068943,0.05
Hopper-v5,SAC,PPO,t-test,0.05,10,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,10,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,10,0.077,0.00843036179532053,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,10,0.106,0.009734680272099337,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,10,0.085,0.008819013550278738,0.05
Hopper-v5,SAC,PPO,permutation,0.05,10,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,PPO,t-test,0.05,20,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,20,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,20,0.131,0.010669536072388528,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,20,0.148,0.011229247525992114,0.05
