task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,2,0.038,0.006046155803483731
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.013,0.003582038525755969
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.513,0.015806043148112688
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,2,0.486,0.015805189021330938
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,3,0.045,0.0065555320150236475
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.019,0.004317290817167636
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.272,0.014071815803228808
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,3,0.254,0.013765318739498916
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,5,0.051,0.00695693898205238
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.032,0.005565608681896348
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.07,0.008068457101577725
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.093,0.009184280047995052
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.174,0.011988494484296182
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,5,0.09,0.009049861877399014
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,10,0.072,0.008174105455644672
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.038,0.006046155803483731
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.069,0.008014923580421713
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.086,0.008865889690267977
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.154,0.011414201680362931
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,10,0.1,0.009486832980505138
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,20,0.126,0.010493998284733994
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.117,0.010164201887015036
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.177,0.012069424178476784
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.188,0.012355403676124872
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.196,0.012553246592017541
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,20,0.139,0.010939789760319894
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,30,0.226,0.013225883713385657
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.188,0.012355403676124872
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.28,0.014198591479439079
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.265,0.013956181426163821
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.274,0.014104041973845655
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,30,0.243,0.013562853682024296
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,50,0.433,0.015668790636165893
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,50,0.381,0.015357050498061143
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,50,0.464,0.015770351930125086
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,50,0.485,0.01580427157448264
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,50,0.446,0.01571890581433708
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,50,0.412,0.015564575162849772
