task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,PPO,permutation,0.05,20,0.039,0.006122009474020765,0.05
Hopper-v5,SAC,PPO,t-test,0.05,30,0.048,0.006759881655768835,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,30,0.049,0.006826346021115542,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,30,0.192,0.012455360291858283,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,30,0.191,0.012430567163247218,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,30,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,PPO,permutation,0.05,30,0.044,0.006485676526007136,0.05
Hopper-v5,SAC,PPO,t-test,0.05,50,0.045,0.0065555320150236475,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,50,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,50,0.252,0.013729384545565033,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,50,0.272,0.014071815803228808,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,50,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,PPO,permutation,0.05,50,0.06,0.007509993342207435,0.05
Hopper-v5,SAC,PPO,t-test,0.05,100,0.046,0.006624499981130651,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,100,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,100,0.431,0.015660108556456432,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,100,0.443,0.015708309902723462,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,100,0.071,0.008121514637061242,0.05
Hopper-v5,SAC,PPO,permutation,0.05,100,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,PPO,t-test,0.01,2,0.035,0.005811626278418116,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,2,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,2,0.389,0.015416841440450765,0.01
Hopper-v5,SAC,PPO,permutation,0.01,2,0.411,0.015558888135082145,0.01
Hopper-v5,SAC,PPO,t-test,0.01,3,0.024,0.004839834707921336,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,3,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,3,0.158,0.011534123287012324,0.01
Hopper-v5,SAC,PPO,permutation,0.01,3,0.135,0.010806248192596726,0.01
Hopper-v5,SAC,PPO,t-test,0.01,5,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,5,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,5,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,5,0.027,0.00512552436341883,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,5,0.065,0.007795832219846705,0.01
Hopper-v5,SAC,PPO,permutation,0.01,5,0.026,0.0050322956987840055,0.01
Hopper-v5,SAC,PPO,t-test,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,10,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,10,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,10,0.036,0.005891010100144117,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,10,0.036,0.005891010100144117,0.01
Hopper-v5,SAC,PPO,permutation,0.01,10,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,PPO,t-test,0.01,20,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,20,0.039,0.006122009474020765,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,20,0.044,0.006485676526007136,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,PPO,permutation,0.01,20,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,PPO,t-test,0.01,30,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,30,0.046,0.006624499981130651,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,30,0.059,0.007451107300260815,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,30,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,PPO,permutation,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,PPO,t-test,0.01,50,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,50,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,50,0.101,0.009528850927577786,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,50,0.128,0.010564847372300274,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,50,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,PPO,permutation,0.01,50,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,PPO,t-test,0.01,100,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,PPO,Welch t-test,0.01,100,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,PPO,Mann-Whitney,0.01,100,0.244,0.013581752464244074,0.01
Hopper-v5,SAC,PPO,Ranked t-test,0.01,100,0.245,0.013600551459407815,0.01
Hopper-v5,SAC,PPO,bootstrap,0.01,100,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,PPO,permutation,0.01,100,0.007,0.0026364749192814255,0.01
Hopper-v5,TD3,DDPG,t-test,0.05,2,0.125,0.010458250331675944,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,2,0.043,0.006414904519944158,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,2,0.422,0.01561781034588396,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,2,0.42,0.015607690412101338,0.05
Hopper-v5,TD3,DDPG,t-test,0.05,3,0.108,0.009815090422405696,0.05
Hopper-v5,TD3,DDPG,Welch t-test,0.05,3,0.053,0.00708456067798138,0.05
Hopper-v5,TD3,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,TD3,DDPG,Ranked t-test,0.05,3,0.159,0.011563693181678594,0.05
Hopper-v5,TD3,DDPG,bootstrap,0.05,3,0.281,0.014214042352547005,0.05
Hopper-v5,TD3,DDPG,permutation,0.05,3,0.174,0.011988494484296182,0.05
